LDGS_NM,CTPRVN_NM,GUGUN_NM,LDGS_ADDR,PET_INFO_CN
"여우비 관광호텔","울산광역시","남구","울산 남구 산업로647번길 14","['반려 동물 불가능']"
"토요코인 울산삼산동","울산광역시","남구","울산 남구 삼산로 308","['반려 동물 불가능']"
"에쉬튼(ASHTON) 호텔","울산광역시","남구","울산 남구 중앙로213번길 8","['반려 동물 불가능']"
"주식회사 라한호텔(울산)","울산광역시","동구","울산 동구 방어진순환도로 871","['반려 동물 불가능']"
"블루오션뷰","울산광역시","울주군","울산 울주군 서생면 진하해변길 74","['반려 동물 불가능']"
"그랜드플라자청주호텔","충청북도","청주시 청원구","충북 청주시 청원구 충청대로 114","['반려 동물 불가능', '보조 동물 허용']"
"호텔나무","인천광역시","미추홀구","인천 미추홀구 경인로435번길 7-8","['반려 동물 불가능']"
"뉴베라관광호텔","충청북도","청주시 흥덕구","충북 청주시 흥덕구 풍년로193번길 32","['반려 동물 불가능', '보조 동물 허용']"
"마크관광호텔","충청북도","청주시","충북 청주시 흥덕구 가로수로1164번길 41-34","['반려 동물 불가능']"
"세종스파텔","충청북도","청주시 청원구","충북 청주시 청원구 내수읍 신기초정로 699","['반려 동물 불가능']"
"관광호텔 뮤제오","충청북도","청주시","충북 청주시 흥덕구 가로수로1164번길 41-20","['반려 동물 불가능']"
"수안보 상록호텔","충청북도","충주시","충북 충주시 수안보면 주정산로 22","['반려 동물 불가능']"
"수안보 파크관광호텔","충청북도","충주시","충북 충주시 수안보면 탑골1길 36","['반려 동물 불가능']"
"THE조선호텔 수안보","충청북도","충주시","충북 충주시 수안보면 조산공원길 99","['반려 동물 불가능']"
"리버호텔","충청북도","충주시","충청북도 충주시 애향로 35, 봉방동, 충주","['반려 동물 불가능']"
"청풍레이크호텔","충청북도","제천시","충북 제천시 청풍면 청풍호로 1798","['반려 동물 불가능']"
"레이크힐스호텔속리산","충청북도","보은군","충북 보은군 속리산면 법주사로 305","['반려 동물 불가능']"
"거성호텔","충청북도","음성군","충북 음성군 맹동면 장성로 107","['반려 동물 불가능']"
"단양관광호텔","충청북도","단양군","충북 단양군 단양읍 삼봉로 31","['반려 동물 불가능']"
"부산 다이아몬드호텔","부산광역시","연제구","부산 연제구 월드컵대로164번길 26","['반려 동물 불가능']"
"시애틀비호텔","부산광역시","연제구","부산 연제구 거제천로154번길 42","['반려 동물 불가능']"
"아르반시티 호텔","부산광역시","연제구","부산 연제구 반송로 20","['반려 동물 불가능']"
"호텔아쿠아펠리스","부산광역시","수영구","부산 수영구 광안해변로 225","['반려 동물 불가능']"
"돈비치관광호텔","부산광역시","수영구","부산 수영구 광남로 96","['반려 동물 불가능']"
"호메르스 호텔","부산광역시","수영구","부산 수영구 광안해변로 217","['반려 동물 불가능']"
"스타호텔","전라북도","부안군","전북 부안군 변산면 채석강길 33","['반려 동물 불가능']"
"H-AVENUE 광안리점","부산광역시","수영구","부산 수영구 민락수변로 29","['반려 동물 불가능']"
"호텔런더너 광안점","부산광역시","수영구","부산 수영구 민락본동로 12-4","['반려 동물 불가능']"
"호텔1","부산광역시","수영구","부산 수영구 광안해변로 203","['반려 동물 불가능']"
"베스트 루이스 해밀턴 호텔 광안점","부산광역시","수영구","부산 수영구 광안해변로 276","['반려 동물 불가능']"
"더포인트호텔 광안리점","부산광역시","수영구","부산 수영구 광안해변로278번길 42","['반려동물 동반 가능', '반려동물 동반 가능(유료)', '반려동물용 그릇', '반려동물은 주인 없이 혼자 있을 수 없음', '보조 동물 허용']"
"호텔 센트럴베이","부산광역시","수영구","부산 수영구 광안해변로 189","['반려 동물 불가능']"
"브라운도트호텔 수영점","부산광역시","수영구","부산 수영구 광안해변로278번길 42","['반려 동물 불가능']"
"오션투헤븐","부산광역시","수영구","부산 수영구 광안해변로278번길 42","['반려 동물 불가능', '보조 동물 허용']"
"제이스테이","서울특별시","송파구","서울 송파구 충민로 81-9","['반려동물 동반 가능']"
"벡스코호스텔","부산광역시","수영구","부산 수영구 광안해변로284번길 43","['반려 동물 불가능']"
"호텔미라주","부산광역시","수영구","부산 수영구 남천바다로33번길 15","['반려 동물 불가능']"
"오션스테이호텔","부산광역시","수영구","부산 수영구 광안해변로278번길 42","['반려 동물 불가능']"
"라움103","부산광역시","수영구","부산 수영구 민락수변로 103","['반려 동물 불가능']"
"베이하운드호텔","부산광역시","영도구","부산 영도구 태종로65번길 11","['반려 동물 불가능']"
"이데아(IDEA)관광호텔","부산광역시","남구","부산 남구 유엔평화로 35","['반려 동물 불가능']"
"지앤지(G&G)관광호텔 부산 대연동","부산광역시","남구","부산 남구 유엔평화로4번길 34","['반려 동물 불가능']"
"부산비치관광호텔","부산광역시","서구","부산 서구 등대로 113","['반려 동물 불가능']"
"동부산관광호텔","부산광역시","기장군","부산 기장군 장안읍 장안로 38","['반려 동물 불가능']"
"브라운도트 호텔 정관","부산광역시","기장군","부산 기장군 정관읍 산단1로 98-31","['반려 동물 불가능']"
"테라스","서울특별시","서대문구","서울 서대문구 북아현로 2","['반려 동물 불가능']"
"브라운도트호텔 덕천점","부산광역시","북구","부산 북구 금곡대로8번길 20","['반려 동물 불가능']"
"브라운도트호텔 만덕점","부산광역시","북구","부산 북구 만덕고개길 70","['반려 동물 불가능']"
"부산관광호텔","부산광역시","중구","부산 중구 광복로97번길 23","['반려 동물 불가능']"
"토요코인부산역Ⅱ","부산광역시","중구","부산 중구 중앙대로 125","['반려 동물 불가능']"
"브로시스 호텔","부산광역시","중구","부산 중구 구덕로48번길 4","['반려 동물 불가능']"
"브라운도트관광호텔 하단","부산광역시","사하구","부산 사하구 낙동남로1423번길 47","['반려 동물 불가능']"
"레이어스호텔","부산광역시","사하구","부산 사하구 낙동남로 1395","['반려 동물 불가능']"
"호텔일루아","부산광역시","해운대구","부산 해운대구 달맞이길 97","['반려 동물 불가능']"
"리베로호텔 (구 호텔리베라해운대)","부산광역시","해운대구","부산 해운대구 구남로29번길 21","['반려 동물 불가능']"
"제이비디자인호텔","부산광역시","해운대구","부산 해운대구 구남로12번길 31","['반려 동물 불가능']"
"올라호텔","부산광역시","해운대구","부산 해운대구 송정광어골로 49","['반려 동물 불가능', '애견동반']"
"파라다이스호텔부산","부산광역시","해운대구","부산 해운대구 해운대해변로 296","['반려 동물 불가능', '보조 동물 허용']"
"파크하얏트부산","부산광역시","해운대구","부산 해운대구 마린시티1로 51","['반려 동물 불가능']"
"호텔포레","부산광역시","해운대구","부산 해운대구 해운대해변로265번길 13-20","['반려 동물 불가능']"
"토요코인부산해운대2","부산광역시","해운대구","부산 해운대구 해운대해변로237번길 5","['반려 동물 불가능']"
"선트리호텔","부산광역시","해운대구","부산 해운대구 달맞이길 209","['반려 동물 불가능']"
"브라운도트호텔(송정점)","부산광역시","해운대구","부산 해운대구 송정광어골로 30","['반려 동물 불가능']"
"소사이어티 에스호텔 해운대","부산광역시","해운대구","부산광역시 해운대구 구남로12번길 37","['반려 동물 불가능']"
"호텔롯데 시그니엘 부산","부산광역시","해운대구","부산 해운대구 달맞이길 30","['반려 동물 불가능']"
"캔버스블랙","부산광역시","해운대구","부산 해운대구 해운대해변로197번길 14","['반려 동물 불가능']"
"미포오션사이드호텔","부산광역시","해운대구","부산 해운대구 달맞이길62번길 28","['반려 동물 불가능']"
"광장관광호텔","부산광역시","동구","부산 동구 중앙대로214번길 7","['반려 동물 불가능']"
"프라임관광호텔","부산광역시","동구","부산 동구 중앙대로 399","['반려 동물 불가능']"
"토요코인 부산역1","부산광역시","동구","부산 동구 중앙대로196번길 12","['반려 동물 불가능']"
"(주)아이에이치엠 호텔포레 부산역지점","부산광역시","동구","부산 동구 중앙대로296번길 6","['반려 동물 불가능']"
"베스트 인 시티 호텔","부산광역시","동구","부산 동구 고관로 7","['반려 동물 불가능']"
"부산숙박닷컴 게스트하우스","부산광역시","동구","부산 동구 초량중로 60","['반려 동물 불가능']"
"토요코인 부산서면","부산광역시","부산진구","부산 부산진구 서전로 39","['반려 동물 불가능']"
"이비스 앰배서더 부산 씨티 센터","부산광역시","부산진구","부산 부산진구 중앙대로 777","['반려 동물 불가능']"
"신신호텔","부산광역시","부산진구","부산 부산진구 중앙대로743번길 24","['반려 동물 불가능']"
"라이온호텔","부산광역시","부산진구","부산 부산진구 중앙대로691번가길 14-7","['반려 동물 불가능']"
"사우스반데코 호텔","부산광역시","부산진구","부산 부산진구 서면로 6","['반려 동물 불가능']"
"티티호텔","부산광역시","부산진구","부산 부산진구 새싹로 35","['반려 동물 불가능']"
"서울 아리랑힐 호텔 동대문","서울특별시","성북구","서울 성북구 아리랑로 8","['반려 동물 불가능']"
"바티카호텔(VATICAHOTEL)","서울특별시","종로구","서울 종로구 청계천로 341","['반려 동물 불가능']"
"종로크라운호텔","서울특별시","종로구","서울 종로구 삼일대로30길 9","['반려 동물 불가능']"
"호텔베뉴지","서울특별시","종로구","서울 종로구 청계천로 117","['반려 동물 불가능']"
"센터마크호텔","서울특별시","종로구","서울 종로구 인사동5길 38","['반려 동물 불가능']"
"노블관광호텔","전라남도","여수시","전남 여수시 돌산읍 강남해안로 93","['반려 동물 불가능']"
"호텔이비스앰배서더인사동","서울특별시","종로구","서울 종로구 삼일대로30길 31","['반려 동물 불가능']"
"JW메리어트동대문스퀘어","서울특별시","종로구","서울 종로구 청계천로 279","['반려 동물 불가능']"
"메이플레이스호텔 서울동대문","서울특별시","종로구","서울 종로구 율곡로 179","['반려 동물 불가능']"
"신라스테이광화문","서울특별시","종로구","서울 종로구 삼봉로 71","['반려 동물 불가능', '보조 동물 허용']"
"호텔아트리움","서울특별시","종로구","서울 종로구 창경궁로 106","['반려 동물 불가능']"
"루미아호텔 동대문","서울특별시","종로구","서울 종로구 난계로29길 19-11","['반려 동물 불가능']"
"호텔쿠레타케소","서울특별시","종로구","서울 종로구 인사동길 20-9","['반려 동물 불가능']"
"호텔썬비","서울특별시","종로구","서울 종로구 인사동7길 26","['반려 동물 불가능']"
"나인트리프리미어호텔인사동","서울특별시","종로구","서울 종로구 인사동길 49","['반려 동물 불가능', '보조 동물 허용']"
"글루호텔","서울특별시","종로구","서울 종로구 율곡로 228","['반려 동물 불가능']"
"목시 서울 인사동 호텔","서울특별시","종로구","서울 종로구 돈화문로11길 37","['반려 동물 불가능']"
"호텔DM(호텔디엠)","서울특별시","종로구","서울 종로구 난계로29길 73","['반려 동물 불가능']"
"오라카이대학로호텔","서울특별시","종로구","서울 종로구 율곡로 180","['반려 동물 불가능']"
"Hostel Tommy 호스텔 토미","서울특별시","종로구","서울 종로구 돈화문로 66","['반려 동물 불가능']"
"호스텔코리아","서울특별시","종로구","서울 종로구 돈화문로 85","['반려 동물 불가능']"
"미오하우스","서울특별시","종로구","서울 종로구 청계천로 229","['반려 동물 불가능']"
"24guesthouse동대문마켓점","서울특별시","종로구","서울 종로구 종로46길 22","['반려 동물 불가능']"
"호스텔 클로이","서울특별시","종로구","서울 종로구 종로16길 32-4","['반려 동물 불가능']"
"동대문 서울달빛","서울특별시","종로구","서울 종로구 종로54길 9-10","['반려 동물 불가능']"
"호스텔 하루","서울특별시","종로구","서울 종로구 청계천로 61","['반려 동물 불가능']"
"서울앤호텔 동대문","서울특별시","종로구","서울 종로구 종로66가길 21","['반려 동물 불가능']"
"메트로호텔","서울특별시","중구","서울 중구 명동9가길 14","['반려 동물 불가능', '보조 동물 허용']"
"프레지던트호텔","서울특별시","중구","서울 중구 을지로 16","['반려 동물 불가능']"
"서울프린스호텔","서울특별시","중구","서울 중구 퇴계로 130","['반려 동물 불가능']"
"뉴서울호텔","서울특별시","중구","서울 중구 세종대로22길 16","['반려 동물 불가능']"
"(주)서울렉스호텔","서울특별시","중구","서울 중구 퇴계로10길 23","['반려 동물 불가능']"
"호텔 PJ","서울특별시","중구","서울 중구 마른내로 71","['반려 동물 불가능']"
"세종호텔","서울특별시","중구","서울 중구 퇴계로 145","['반려 동물 불가능']"
"퍼시픽호텔","서울특별시","중구","서울 중구 퇴계로20길 2","['반려 동물 불가능']"
"플라자호텔","서울특별시","중구","서울 중구 소공로 119","['반려 동물 불가능']"
"호텔롯데","서울특별시","중구","서울 중구 을지로 30","['반려 동물 불가능']"
"로얄호텔서울","서울특별시","중구","서울 중구 명동길 61","['반려 동물 불가능']"
"코리아나호텔","서울특별시","중구","서울 중구 세종대로 135","['반려 동물 불가능']"
"반얀트리 클럽 앤 스파 서울","서울특별시","중구","서울 중구 장충단로 60","['반려 동물 불가능']"
"베스트웨스턴호텔국도","서울특별시","중구","서울 중구 을지로 164","['반려 동물 불가능']"
"이비스 앰배서더 명동","서울특별시","중구","서울 중구 남대문로 78","['반려 동물 불가능', '보조 동물 허용']"
"프레이저 플레이스 센트럴 서울","서울특별시","중구","서울 중구 통일로 78","['반려동물 동반 가능', '반려동물 동반 가능(유료)']"
"호텔 스카이파크3","서울특별시","중구","서울 중구 퇴계로 139","['반려 동물 불가능', '보조 동물 허용']"
"호텔마누","서울특별시","중구","서울 중구 퇴계로 19","['반려 동물 불가능']"
"더 그랜드호텔 명동","서울특별시","중구","서울 중구 명동8가길 38","['반려 동물 불가능']"
"프레이저플레이스남대문","서울특별시","중구","서울 중구 통일로 78","['반려 동물 불가능']"
"써미트호텔","서울특별시","중구","서울 중구 장충단로 198","['반려 동물 불가능']"
"티마크호텔명동","서울특별시","중구","서울 중구 충무로 15","['반려 동물 불가능']"
"24게스트하우스동대문","서울특별시","중구","서울 중구 을지로 280-2","['반려 동물 불가능']"
"데이즈 호텔 명동","서울특별시","중구","서울 중구 퇴계로 107","['반려 동물 불가능']"
"치선 호텔 서울 명동","서울특별시","중구","서울 중구 창경궁로 20","['반려 동물 불가능']"
"베이튼호텔","서울특별시","중구","서울 중구 동호로 346","['반려 동물 불가능']"
"이비스 버젯 앰배서더 서울 동대문 호텔","서울특별시","중구","서울 중구 퇴계로 334","['반려 동물 불가능']"
"모닝스카이호텔","서울특별시","중구","서울 중구 퇴계로45길 32-37","['반려 동물 불가능']"
"오리엔스 호텔 앤 레지던스","서울특별시","중구","서울 중구 삼일대로2길 50","['반려 동물 불가능']"
"탕파스 호스텔","서울특별시","중구","서울 중구 퇴계로 159-8","['반려 동물 불가능']"
"이비스 스타일 앰배서더 서울 명동","서울특별시","중구","서울 중구 삼일대로 302","['반려 동물 불가능']"
"호텔 도마","서울특별시","중구","서울 중구 퇴계로 216","['반려 동물 불가능']"
"트레블로지 명동 을지로 호텔","서울특별시","중구","서울 중구 수표로 61","['반려 동물 불가능']"
"루미아 호텔","서울특별시","종로구","서울 종로구 난계로29길 19-11","['반려 동물 불가능']"
"소테츠호텔즈 더 스프라지르 서울 동대문","서울특별시","중구","서울 중구 장충단로 226","['반려 동물 불가능']"
"춘천세종관광호텔","강원특별자치도","춘천시","강원 춘천시 봉의산길 31","['반려 동물 불가능']"
"춘천베어스관광호텔","강원특별자치도","춘천시","강원 춘천시 스포츠타운길 376","['반려 동물 불가능']"
"호텔인터불고 ( 원주 )","강원특별자치도","원주시","강원 원주시 동부순환로 200","['반려 동물 불가능']"
"베니키아 호텔 비즈인","강원특별자치도","원주시","강원 원주시 만대로 7-1","['반려 동물 불가능']"
"경포비치호탤","강원특별자치도","강릉시","강원 강릉시 해안로406번길 17","['반려 동물 불가능']"
"더 홍씨 강릉","강원특별자치도","강릉시","강원 강릉시 옥천로65번길 2-6","['반려 동물 불가능']"
"강릉관광호텔","강원특별자치도","강릉시","강원 강릉시 금성로 62","['반려 동물 불가능']"
"Hotel Tops10","강원특별자치도","강릉시","강원 강릉시 옥계면 헌화로 455-34","['반려 동물 불가능']"
"호텔이스트나인","강원특별자치도","강릉시","강원 강릉시 교동광장로100번길 8-6","['반려 동물 불가능']"
"뉴동해관광호텔","강원특별자치도","동해시","강원 동해시 평릉길 1","['반려 동물 불가능']"
"이스턴관광호텔","강원특별자치도","속초시","강원 속초시 청초호반로 319","['반려 동물 불가능']"
"동해보양온천컨벤션호텔","강원특별자치도","동해시","강원 동해시 동해대로 6285","['반려 동물 불가능']"
"동해현진관광호텔","강원특별자치도","동해시","강원 동해시 동굴로 125-3","['반려 동물 불가능']"
"태백관광호텔(SORANO HOTEL)","강원특별자치도","태백시","강원 태백시 기장밭길 7-1","['반려 동물 불가능']"
"켄싱턴호텔 설악","강원특별자치도","속초시","강원 속초시 설악산로 998","['반려 동물 불가능']"
"마레몬스관광호텔","강원특별자치도","속초시","강원 속초시 동해대로 3705","['반려 동물 불가능']"
"베니키아 호텔 산과바다 대포항","강원특별자치도","속초시","강원 속초시 동해대로 3691","['반려 동물 불가능']"
"더클래스 300","강원특별자치도","속초시","강원 속초시 동해대로 3915","['반려 동물 불가능']"
"롯데리조트 속초","강원특별자치도","속초시","강원 속초시 대포항길 186","['반려 동물 불가능']"
"쏠비치 호텔 삼척","강원특별자치도","삼척시","강원 삼척시 수로부인길 453","['반려 동물 불가능']"
"용평리조트 드래곤밸리호텔","강원특별자치도","평창군","강원 평창군 대관령면 올림픽로 715","['반려 동물 불가능']"
"켄싱턴 플로라호텔","강원특별자치도","평창군","강원 평창군 진부면 진고개로 231","['반려 동물 불가능']"
"인터컨티넨탈알펜시아평창리조트","강원특별자치도","평창군","강원 평창군 대관령면 솔봉로 325","['반려 동물 불가능']"
"휘닉스 호텔","강원특별자치도","횡성군","강원 횡성군 우천면 서동로 116","['반려 동물 불가능']"
