LDGS_NM,CTPRVN_NM,GUGUN_NM,LDGS_ADDR,PET_INFO_CN
"SR 스위츠 호텔 분당","경기도","성남시 분당구","경기 성남시 분당구 황새울로319번길 9","['반려 동물 불가능', '보조 동물 허용']"
"엘라포니시 호텔","경상북도","경주시","경상북도 경주시 감포읍 동해안로 1596","['반려동물 동반 가능']"
"통영엔초비관광호텔","경상남도","통영시","경상남도 통영시 정량동 1376-1, 정량동","['반려 동물 불가능']"
"라이프스타일 S호텔","서울특별시","강서구","서울특별시 강서구 곰달래로 108","['반려 동물 불가능']"
"보우(VOW)관광호텔","인천광역시","계양구","계산동 1076-2번지 VOW관광호텔 계양구 인천광역시","['반려 동물 불가능']"
"웨스트나인호텔","경기도","김포시","경기도 김포시 김포한강9로75번길 64","['반려 동물 불가능']"
"온더웨이브 호텔","울산광역시","울주군","울산 울주군 서생면 간절곶해안길 37","['반려 동물 불가능']"
"셀립여의","서울특별시","영등포구","서울 영등포구 영등포로 389","['없음']"
"유니온관광호텔","대구광역시","중구","대구 중구 태평로 117","['반려 동물 불가능']"
"호텔 더 디자이너스 청량리","서울특별시","동대문구","서울 동대문구 왕산로 226","['반려 동물 불가능', '보조 동물 허용']"
"하운드가든&테라스호텔","부산광역시","해운대구","부산 해운대구 구남로12번길 55","['반려 동물 불가능']"
"라온컨벤션","대전광역시","유성구","대전 유성구 온천로 88","['반려 동물 불가능']"
"라온스테이 인 페를라","경상남도","진주시","경남 진주시 영천강로 164","['반려 동물 불가능']"
"어반스테이 제주연동","제주특별자치도","제주시","제주특별자치도 제주시 연동6길 5","['반려 동물 불가능']"
"벤티모 호텔 앤 레지던스 제주","제주특별자치도","제주시","제주특별자치도 제주시 연삼로 14","['반려 동물 불가능']"
"그레이 193 호텔","부산광역시","수영구","부산 수영구 광안해변로278번길 42","['반려 동물 불가능']"
"호텔 프리마베라 부산(in busan)","부산광역시","수영구","부산 수영구 광안해변로278번길 42","['반려 동물 불가능', '반려동물은 주인 없이 혼자 있을 수 없음']"
"해운대 베이몬드 호텔","부산광역시","해운대구","부산 해운대구 해운대해변로209번가길 27","['반려 동물 불가능']"
"스타즈호텔 프리미어동탄","경기도","화성시","경기 화성시 동탄반석로 171","['반려 동물 불가능']"
"어반스테이 동탄","경기도","화성시","경기 화성시 반송동 94","['반려 동물 불가능']"
"어반스테이 명동","서울특별시","중구","서울 중구 충무로 24","['반려 동물 불가능']"
"지젤 시그니티 서초","서울특별시","서초구","서울 서초구 효령로53길 50","['반려동물 동반 가능']"
"어반스테이 서면","부산광역시","부산진구","부산 부산진구 중앙대로 752","['반려 동물 불가능']"
"브라운도트 서면 1호점","부산광역시","부산진구","부산 부산진구 서전로9번길 30","['반려 동물 불가능']"
"호텔 J7","부산광역시","부산진구","부산 부산진구 부전로20번길 10","['반려 동물 불가능']"
"서면 와이티티 호텔(YTT)","부산광역시","부산진구","부산 부산진구 중앙대로691번가길 27","['반려 동물 불가능']"
"르 컬렉티브 부산역","부산광역시","동구","부산 동구 충장대로 160","['반려 동물 불가능']"
"어반스테이 부산연산","부산광역시","연제구","부산 연제구 중앙대로 1116-8","['반려 동물 불가능']"
"연산 하운드호텔","부산광역시","연제구","부산 연제구 월드컵대로153번길 9","['반려 동물 불가능']"
"씨사이드 호텔 앤 리조트","전라남도","여수시","전남 여수시 국포1로 47","['반려 동물 불가능']"
"브라운도트 비지니스 서면롯데점","부산광역시","부산진구","부산 부산진구 가야대로756번길 16","['반려 동물 불가능']"
"르컬렉티브 오시리아","부산광역시","기장군","부산 기장군 기장읍 동부산관광7로 17","['반려 동물 불가능']"
"어반스테이 부티크 521","부산광역시","중구","부산 중구 구덕로 52-1","['반려 동물 불가능']"
"마티에 오시리아","부산광역시","기장군","부산 기장군 기장읍 동부산관광7로 17","['반려 동물 불가능']"
"지엔비 호텔","부산광역시","중구","부산 중구 흑교로 19","['반려 동물 불가능', '보조 동물 허용']"
"하운드호텔 송정","부산광역시","해운대구","부산 해운대구 송정중앙로36번길 56","['반려 동물 불가능']"
"코오롱 씨클라우드 (호텔)","부산광역시","해운대구","부산 해운대구 해운대해변로 287","['반려 동물 불가능']"
"신라스테이 해운대 (호텔)","부산광역시","해운대구","부산 해운대구 해운대로570번길 46","['반려 동물 불가능', '보조 동물 허용']"
"라마다 앙코르 해운대 (호텔)","부산광역시","해운대구","부산 해운대구 구남로 9","['반려 동물 불가능']"
"DW Stay Hongdae (디 더블유 스테이 홍대)","서울특별시","마포구","서울 마포구 연남로1길 8-12","['반려 동물 불가능']"
"파크 선샤인 제주","제주특별자치도","서귀포시","제주특별자치도 서귀포시 남성중로 135","['반려 동물 불가능']"
"제주 노블피아 호텔","제주특별자치도","서귀포시","제주특별자치도 서귀포시 명동로 46","['반려 동물 불가능']"
"호텔 화인","제주특별자치도","서귀포시","제주특별자치도 서귀포시 칠십리로 87","['반려 동물 불가능']"
"헤이, 서귀포","제주특별자치도","서귀포시","제주특별자치도 서귀포시 태평로 363","['반려동물 관련 시설', '반려 동물 불가능', '반려동물 동반 가능(유료)', '반려동물용 그릇', '반려동물은 주인 없이 혼자 있을 수 없음', '보조 동물 허용', '애견동반']"
"호텔 케니 기장","부산광역시","기장군","부산 기장군 기장읍 차성남로51번길 26","['반려 동물 불가능']"
"다락휴 여수","전라남도","여수시","전남 여수시 박람회길 1","['반려 동물 불가능']"
"신신호텔 천지연","제주특별자치도","서귀포시","제주특별자치도 서귀포시 서문로 42-1","['반려 동물 불가능']"
"신신호텔 제주월드컵","제주특별자치도","서귀포시","제주특별자치도 서귀포시 서호중로 55","['반려 동물 불가능']"
"호텔 케니 모슬포","제주특별자치도","서귀포시","제주특별자치도 서귀포시 대정읍 하모중앙로 22","['반려 동물 불가능']"
"담모라 리조트","제주특별자치도","서귀포시","제주특별자치도 서귀포시 안덕면 일주서로 1975-11","['반려 동물 불가능']"
"산방산 호텔","제주특별자치도","서귀포시","제주특별자치도 서귀포시 대정읍 일주서로 2093","['반려 동물 불가능', '애견동반']"
"블룸 호텔","제주특별자치도","서귀포시","제주특별자치도 서귀포시 중문관광로72번길 53","['반려 동물 불가능']"
"토모노야 호텔 앤 료칸 경주","경상북도","경주시","경북 경주시 감포읍 동해안로 2401","['반려 동물 불가능']"
"토모노야 호텔 앤 료칸 대천","충청남도","보령시","충남 보령시 해안로 341","['반려 동물 불가능']"
"호시카게 료칸 호텔 동부산","부산광역시","기장군","부산 기장군 기장읍 대변로 133","['반려 동물 불가능']"
"어반스테이 여수오션힐","전라남도","여수시","전남 여수시 돌산읍 강남해안로 81","['반려 동물 불가능']"
"해운대 씨클라우드 호텔 앤 레지던스","부산광역시","해운대구","부산 해운대구 해운대해변로 287","['반려 동물 불가능']"
"해운대 썬클라우드 호텔","부산광역시","해운대구","부산 해운대구 해운대해변로 287","['반려 동물 불가능']"
"이끌림 비즈니스 호텔","광주광역시","동구","광주 동구 천변우로 407","['반려 동물 불가능']"
"코티즈","부산광역시","해운대구","부산 해운대구 구남로21번길 6","['반려 동물 불가능']"
"라인 호텔 명동","서울특별시","중구","서울 중구 명동3길 36","['반려 동물 불가능']"
"이코노미 프리미어 명동","서울특별시","중구","서울 중구 명동8나길 9","['반려 동물 불가능']"
"브라운 도트 광주 충장로점","광주광역시","동구","광주 동구 중앙로 150-8","['반려 동물 불가능']"
"워싱턴 호텔","광주광역시","동구","광주 동구 문화전당로35번길 33","['반려 동물 불가능']"
"스테이 53","광주광역시","서구","광주 서구 상무연하로 6","['반려 동물 불가능']"
"탑클라우드 호텔 광주","광주광역시","광산구","광주 광산구 임방울대로825번길 57-1","['반려 동물 불가능']"
"호텔 더 힐","광주광역시","남구","광주 남구 독립로 9-10","['반려 동물 불가능']"
"디그니티 호텔","강원특별자치도","양양군","강원 양양군 양양읍 조산리 384-28","['반려 동물 불가능']"
"낙산 비치 호텔","강원특별자치도","양양군","강원 양양군 강현면 낙산사로 73","['반려 동물 불가능']"
"투와이 호텔","강원특별자치도","양양군","강원 양양군 강현면 동해대로 3277-3","['반려 동물 불가능']"
"양양 국제 공항 호텔","강원특별자치도","양양군","강원 양양군 손양면 동해대로 2338","['반려 동물 불가능']"
"이엘 호텔 (EL Hotel)","강원특별자치도","양양군","강원 양양군 강현면 동해대로 3347","['반려 동물 불가능']"
"오붓 호텔","경기도","화성시","경기 화성시 오산동 962-31","['반려 동물 불가능']"
"연화문호텔 영덕","경상북도","영덕군","경북 영덕군 남정면 동해대로 3472","['반려 동물 불가능']"
"캔버스 호스텔","부산광역시","해운대구","부산 해운대구 해운대해변로197번길 14","['반려 동물 불가능']"
"더 펫텔","부산광역시","해운대구","부산 해운대구 해운대해변로197번길 12","['반려동물 동반 가능', '반려동물 동반 가능(유료)']"
"핀크스 포도 호텔","제주특별자치도","서귀포시","제주특별자치도 서귀포시 안덕면 산록남로 863","['반려 동물 불가능']"
"오투힐 리조트","제주특별자치도","제주시","제주특별자치도 제주시 구좌읍 해맞이해안로 1590-6","['반려 동물 불가능']"
"르메인 호텔 협재","제주특별자치도","제주시","제주특별자치도 제주시 한림읍 한림로 392","['반려 동물 불가능']"
"더 퍼스트 스테이 호텔 (구.루체브릿지)","서울특별시","강서구","서울 강서구 마곡동로4길 23","['반려 동물 불가능', '보조 동물 허용']"
"인터시티 서울 호텔","서울특별시","강서구","서울 강서구 마곡중앙6로 76-3","['반려 동물 불가능']"
"G3 호텔","서울특별시","중구","서울 중구 충무로 7","['반려 동물 불가능']"
"모헤닉호텔 서울 명동","서울특별시","중구","서울 중구 퇴계로 115","['반려 동물 불가능']"
"달그림고운펜션","강원특별자치도","춘천시","강원 춘천시 동내면 춘천순환로116번길 8","['반려 동물 불가능']"
"그레이샌즈 풀빌","부산광역시","해운대구","부산 해운대구 송정해변로 30-1","['반려 동물 불가능']"
"블랑블루 펜션","제주특별자치도","서귀포시","제주특별자치도 서귀포시 남원읍 남태해안로 135","['반려 동물 불가능']"
"제주 해바라기 펜션","제주특별자치도","서귀포시","제주특별자치도 서귀포시 표선면 일주동로6285번길 13-12","['반려 동물 불가능']"
"펠리시아","제주특별자치도","서귀포시","제주특별자치도 서귀포시 일주동로 9123","['반려 동물 불가능']"
"해비치 하우스 펜션","제주특별자치도","서귀포시","제주특별자치도 서귀포시 표선면 민속해안로 347","['반려 동물 불가능']"
"기장 에이치에비뉴-일광점","부산광역시","기장군","부산 기장군 일광읍 해송4로 3","['반려 동물 불가능']"
"담양 메타 펜션","전라남도","담양군","전남 담양군 담양읍 메타프로방스3길 4-6","['반려 동물 불가능']"
"E7 양양죽도","강원특별자치도","양양군","강원 양양군 현남면 동산큰길 21","['반려 동물 불가능']"
"오션 밸리 리조트","강원특별자치도","양양군","강원 양양군 양양읍 일출로 127-30","['반려 동물 불가능']"
"양양 비치 콘도","강원특별자치도","양양군","강원 양양군 양양읍 일출로 159-6","['반려 동물 불가능']"
"센텀 마크 호텔 양양","강원특별자치도","양양군","강원 양양군 양양읍 한고개길 9","['반려 동물 불가능']"
"더앤리조트","강원특별자치도","양양군","강원 양양군 현남면 개매길 260","['반려 동물 불가능', '보조 동물 허용']"
"쏠비치 리조트","강원특별자치도","양양군","강원 양양군 손양면 선사유적로 678","['반려 동물 불가능']"
"호텔 드몽드","전라남도","담양군","전남 담양군 담양읍 깊은실길 25","['반려 동물 불가능']"
"대구 메리어트 호텔&서비스드 레지던스","대구광역시","동구","대구 동구 동부로26길 6","['반려 동물 불가능']"
"씨사이드 아덴","제주특별자치도","서귀포시","제주특별자치도 서귀포시 중문관광로 124","['반려 동물 불가능', '반려동물 동반 가능(유료)']"
"강릉브이브이호텔","강원특별자치도","강릉시","강원 강릉시 하슬라로192번길 22-1","['반려 동물 불가능']"
"강릉 루소호텔","강원특별자치도","강릉시","강원 강릉시 교동광장로100번길 12","['반려 동물 불가능']"
"케이힐스 더테라스","경기도","파주시","경기 파주시 심학산로 628","['반려 동물 불가능']"
"파크뷰테라스 호텔","경기도","파주시","경기 파주시 소리천로 39","['반려 동물 불가능']"
"그랜드시티호텔 창원","경상남도","창원시 성산구","경남 창원시 성산구 중앙대로 78","['반려 동물 불가능', '보조 동물 허용']"
"경포 마레 호텔","강원특별자치도","강릉시","강원 강릉시 창해로 443","['반려 동물 불가능']"
"아비오 호텔","강원특별자치도","강릉시","강원 강릉시 창해로 229","['반려 동물 불가능']"
"이천 스카이썬 호텔","경기도","이천시","경기 이천시 중리천로 126","['반려 동물 불가능']"
"호텔 소울하다","인천광역시","계양구","인천 계양구 계양문화로 58","['반려 동물 불가능']"
"더 코노셔 레지던스","서울특별시","영등포구","서울 영등포구 국회대로68길 24","['반려 동물 불가능']"
"베스트 웨스턴 프리미어 인천공항","인천광역시","중구","인천 중구 공항로424번길 48-27","['반려 동물 불가능']"
"호텔 마리나 베이 서울","경기도","김포시","경기 김포시 고촌읍 아라육로152번길 210-50","['반려 동물 불가능']"
"컬러인 제주","제주특별자치도","서귀포시","제주특별자치도 서귀포시 성산읍 난고로42번길 24","['반려 동물 불가능']"
"퍼스트70호텔","제주특별자치도","서귀포시","제주특별자치도 서귀포시 명동로 46","['반려 동물 불가능']"
"코델리아 s 호텔","제주특별자치도","서귀포시","제주특별자치도 서귀포시 성산읍 일주동로 4186","['반려 동물 불가능']"
"호텔 브릿지 서귀포","제주특별자치도","서귀포시","제주특별자치도 서귀포시 태평로 436","['반려 동물 불가능']"
"디엠버 호텔","경기도","양평군","경기 양평군 서종면 북한강로 1001","['반려 동물 불가능']"
"양평 더 테라스","경기도","양평군","경기 양평군 강하면 강남로 340","['반려 동물 불가능']"
"제주 항공우주 호텔","제주특별자치도","서귀포시","제주특별자치도 서귀포시 안덕면 녹차분재로 216","['반려 동물 불가능']"
"마린뷰 호텔","부산광역시","수영구","부산 수영구 광안해변로278번길 42","['반려 동물 불가능']"
"시프트 도어 하리 레지던스","부산광역시","영도구","부산 영도구 동삼오션로 58","['반려 동물 불가능']"
"태화펜션","강원특별자치도","강릉시","강원특별자치도 강릉시 강동면 헌화로 906-9","['반려동물 동반 가능', '보조 동물 허용']"
"강릉 그레이 호텔","강원특별자치도","강릉시","강원특별자치도 강릉시 하슬라로192번길 6","['반려 동물 불가능']"
"니나랑 펜션","강원특별자치도","강릉시","강원특별자치도 강릉시 강동면 안인진길 34-22","['반려 동물 불가능']"
"파인아트라벨 호텔","강원특별자치도","강릉시","강원특별자치도 강릉시 해안로 32","['반려 동물 불가능']"
"부킹더베이","부산광역시","동구","부산 동구 충장대로 160","['반려 동물 불가능']"
"위더스 오션","부산광역시","수영구","부산 수영구 광남로94번길 16","['없음']"
"엘본 더 스테이","부산광역시","해운대구","부산 해운대구 구남로21번길 6","['반려동물 동반 가능']"
"브라운도트 남춘천","강원특별자치도","춘천시","강원특별자치도 춘천시 남춘로25번길 5","['반려 동물 불가능']"
"에이치 에비뉴 서면역점","부산광역시","부산진구","부산 부산진구 부전로 28","['반려 동물 불가능']"
"호텔 야자 광주상무점","광주광역시","서구","광주 서구 상무평화로 97-9","['반려 동물 불가능']"
"소테츠 호텔즈 더 스프라지르 서울 동대문(호텔)","서울특별시","중구","서울 중구 장충단로 226","['반려 동물 불가능']"
"스카이파크 호텔 동대문 1호점(호텔)","서울특별시","중구","서울 중구 동호로 335","['반려 동물 불가능', '보조 동물 허용']"
"라마다 서울 동대문(호텔)","서울특별시","중구","서울 중구 동호로 354","['반려 동물 불가능']"
"호텔 더 디자이너스 동대문(호텔)","서울특별시","중구","서울 중구 퇴계로 306","['반려 동물 불가능', '보조 동물 허용']"
"노보텔 앰배서더 서울 동대문(호텔)","서울특별시","중구","서울 중구 을지로 238","['반려 동물 불가능']"
"나인트리 호텔 동대문(호텔)","서울특별시","중구","서울 중구 을지로 224","['반려 동물 불가능']"
"디엠(DM) (호텔)","서울특별시","종로구","서울 종로구 난계로29길 73","['반려 동물 불가능']"
"에이큐브 (호텔)","서울특별시","중구","서울 중구 동호로35길 5","['반려 동물 불가능', '보조 동물 허용']"
"스테이 7 명동","서울특별시","중구","서울 중구 명동10길 35-9","['반려 동물 불가능']"
"더포트 부산역점","부산광역시","동구","부산 동구 중앙대로180번길 16-8","['반려 동물 불가능']"
"메이힐스리조트","강원특별자치도","정선군","강원특별자치도 정선군 고한읍 물한리길 8","['반려 동물 불가능']"
"한화리조트 설악 쏘라노","강원특별자치도","속초시","강원특별자치도 속초시 미시령로2983번길 111","['반려 동물 불가능']"
"2278 리조트","충청남도","보령시","충남 보령시 머드광장로 14","['반려 동물 불가능', '애견동반']"
"한화리조트 대천 파로스","충청남도","보령시","충남 보령시 해수욕장3길 11-10","['반려 동물 불가능']"
"대천 우연 플로라 호텔","충청남도","보령시","충남 보령시 해수욕장8길 48","['반려 동물 불가능']"
"호텔 로하스","충청남도","보령시","충남 보령시 해수욕장10길 10","['반려 동물 불가능']"
"데이나이스 호텔 대천","충청남도","보령시","충남 보령시 해수욕장8길 60","['반려 동물 불가능']"
"솔라리아 니시테츠 서울 명동 (호텔)","서울특별시","중구","서울 중구 명동8길 27","['반려 동물 불가능', '보조 동물 허용']"
"서면 아토 호텔","부산광역시","부산진구","부산 부산진구 신천대로62번길 10","['반려 동물 불가능']"
"남포 커넥트오션 호텔","부산광역시","중구","부산 중구 대교로 115-1","['반려동물 동반 가능', '반려동물 동반 가능(유료)', '반려동물은 주인 없이 혼자 있을 수 없음']"
"센텀컨벤션호텔","부산광역시","해운대구","부산 해운대구 센텀3로 20","['반려 동물 불가능']"
"센텀 스위트 호텔","부산광역시","해운대구","부산 해운대구 센텀1로 17","['반려 동물 불가능']"
"브라운도트 경주안강점","경상북도","경주시","경북 경주시 안강읍 비화원로 86","['반려 동물 불가능']"
"부산메인비즈호텔","부산광역시","부산진구","부산 부산진구 부전로 67","['반려 동물 불가능']"
"엘모멘토 해운대","부산광역시","해운대구","부산 해운대구 구남로21번길 6","['반려 동물 불가능']"
"JOY 모텔","경상북도","경주시","경북 경주시 안강읍 화전중앙길 5","['반려 동물 불가능']"
"E7 양양 죽도","강원특별자치도","양양군","강원특별자치도 양양군 현남면 동산큰길 21","['반려 동물 불가능']"
"더블유미니호텔","서울특별시","성북구","서울 성북구 정릉로38나길 31","['반려 동물 불가능', '반려동물 동반 가능(유료)']"
"호텔야자 성신여대역점","서울특별시","성북구","서울 성북구 아리랑로2길 11","['반려 동물 불가능']"
"프리티무인텔","경상북도","경주시","경북 경주시 안강읍 비화중로2길 49","['반려 동물 불가능']"
"넘버 25호텔 불국사점","경상북도","경주시","경북 경주시 시래둑길 23","['반려 동물 불가능']"
"호텔 디에디션","대전광역시","서구","대전 서구 둔산남로91번길 13","['반려 동물 불가능']"
"윈덤 그랜드 부산","부산광역시","서구","부산 서구 등대로 27","['반려 동물 불가능']"
"스테이락호텔","서울특별시","중구","서울 중구 퇴계로 211-5","['반려 동물 불가능']"
"인스파이어 엔터테이먼트 리조트","인천광역시","중구","인천 중구 공항문화로 127","['반려 동물 불가능']"
"호텔피아노","서울특별시","성북구","서울 성북구 보문로 68","['반려 동물 불가능']"
"RG호텔","서울특별시","성북구","서울 성북구 고려대로7길 88","['반려 동물 불가능']"
"더월호텔","서울특별시","성북구","서울 성북구 동소문로 109-14","['반려 동물 불가능']"
"호텔월드스테이","서울특별시","성북구","서울 성북구 동소문로18길 24-20","['반려 동물 불가능']"
"파브모텔","서울특별시","성북구","서울 성북구 동소문로20나길 5","['반려 동물 불가능']"
"깨비스테이","경상북도","중구","경북 포항시 남구 동해면 세오로 60","['반려 동물 불가능']"
"마리안느호텔","부산광역시","해운대구","부산 해운대구 해운대해변로 310","['없음']"
"롯데 호텔 부산","부산광역시","부산진구","부산 부산진구 가야대로 772","['없음']"
"롯데호텔 제주","제주특별자치도","서귀포시","제주특별자치도 서귀포시 중문관광로72번길 35","['없음']"
"판도라 호텔","울산광역시","남구","울산 남구 삼산로392번길 8","['없음']"
"관광호텔 뮤제오","충청북도","청주시 흥덕구","충북 청주시 흥덕구 가로수로1164번길 41-20","['없음']"
"더킹호텔","부산광역시","연제구","부산 연제구 과정로 161","['없음']"
"하운드호텔 기장일광점","부산광역시","기장군","부산 기장군 일광면 해송3로 2","['없음']"
"반달호텔","부산광역시","중구","부산 중구 해관로 79-1","['없음']"
"오라카이 인사동 스위츠","서울특별시","종로구","서울 종로구 인사동4길 18","['없음']"
"스카이파크호텔 동대문1호점","서울특별시","중구","서울 중구 동호로 335","['없음']"
"오키드호텔","강원특별자치도","원주시","강원 원주시 봉화로 26","['없음']"
"인제스피디움호텔","강원특별자치도","인제군","강원 인제군 기린면 상하답로 130","['없음']"
"오색그린야드호텔","강원특별자치도","양양군","강원 양양군 서면 대청봉길 34","['없음']"
"하슬라아트월드","강원특별자치도","강릉시","강원 강릉시 강동면 율곡로 1441","['없음']"
"인천 호텔 반월(구 아시아드)","인천광역시","남동구","인천광역시 남동구 선수촌공원로17번길 6 (구월동)","['없음']"
"인천 SG관광호텔","인천광역시","서구","인천 서구 탁옥로51번길 13-9","['없음']"
"시크릿관광호텔","인천광역시","중구","인천 중구 월미로233번길 11","['없음']"
"W호텔 인천","인천광역시","중구","인천 중구 월미로 211","['없음']"
"월미도 관광호텔","인천광역시","중구","인천 중구 월미로 274","['없음']"
"레이관광호텔","인천광역시","중구","인천 중구 을왕로58번길 7","['없음']"
"제니스관광호텔","경기도","부천시 원미구","경기 부천시 길주로77번길 19-24","['없음']"
"리젠시호텔","경기도","성남시 분당구","경기 성남시 분당구 황새울로 352","['없음']"
"파인 관광호텔","경기도","용인시 기흥구","경기 용인시 기흥구 삼성2로96번길 29-49","['없음']"
"디오션리조트호텔","전라남도","여수시","전남 여수시 소호로 295","['없음']"
"유캐슬호텔","전라남도","여수시","전남 여수시 소라면 안심산길 155","['없음']"
"여수 호텔더시티","전라남도","여수시","전남 여수시 좌수영로 641","['없음']"
"라한호텔 전주","전북특별자치도","전주시 완산구","전북 전주시 완산구 기린대로 85","['없음']"
"전주 풍남호텔","전북특별자치도","전주시 완산구","전북 전주시 완산구 팔달로 212-9","['없음']"
"엔브릿지호텔","전북특별자치도","전주시 완산구","전북 전주시 완산구 전주천서로 81","['없음']"
"그랜드힐스턴호텔","전북특별자치도","전주시 완산구","전라북도 전주시 완산구 온고을로 211 (효자동 3가)","['없음']"
"더메이호텔","전북특별자치도","전주시 덕진구","전북 전주시 덕진구 기린대로 800","['없음']"
"나비잠 한옥호텔","전북특별자치도","전주시 완산구","전북 전주시 완산구 팔달로 150-17","['없음']"
"베니키아아리울","전북특별자치도","군산시","전북 군산시 가도안1길 45","['없음']"
"베스트웨스턴 군산호텔","전북특별자치도","군산시","전북 군산시 새만금북로 435","['없음']"
"라마다 군산","전북특별자치도","군산시","전북 군산시 대학로 400","['없음']"
"호텔 은파 팰리스","전북특별자치도","군산시","전북 군산시 은파순환길 20","['없음']"
"웨스턴라이프호텔","전북특별자치도","익산시","전북 익산시 동서로 380","['없음']"
"정읍 호텔로얄","전북특별자치도","정읍시","전북 정읍시 중앙로 170","['없음']"
"스위트호텔남원","전북특별자치도","남원시","전북 남원시 주천면 원천로 217","['없음']"
"베스트웨스턴플러스 전주","전북특별자치도","전주시 완산구","전북 전주시 완산구 현무1길 41","['없음']"
"호텔케이월드","서울특별시","광진구","서울 광진구 동일로 90","['없음']"
"호텔루 136","서울특별시","은평구","서울 은평구 진흥로 136","['없음']"
"드어반관광호텔","서울특별시","강서구","서울 강서구 곰달래로24길 35","['없음']"
"골드리버","서울특별시","금천구","서울 금천구 서부샛길 584","['없음']"
"오션스파호텔","경상남도","고성군","경남 고성군 고성읍 신월로 60","['없음']"
"부곡스파디움·따오기호텔","경상남도","창녕군","경남 창녕군 부곡면 온천중앙로 42","['없음']"
"노마드호텔","경상남도","김해시","경남 김해시 인제로91번길 5","['없음']"
"스카이뷰관광호텔","경상남도","창원시 마산합포구","경남 창원시 마산합포구 해안대로 317","['없음']"
"아몬드관광호텔","경상남도","창원시 마산합포구","경남 창원시 마산합포구 월영동11길 19","['없음']"
"아모르관광호텔 마산","경상남도","창원시 마산합포구","경남 창원시 마산합포구 수산1길 3","['없음']"
"호텔동방","경상남도","진주시","경남 진주시 논개길 103","['없음']"
"ACC DESIGN호텔","광주광역시","동구","광주 동구 금남로 226-11","['없음']"
"대구 인스타","대구광역시","동구","대구 동구 율암로 164","['없음']"
"호텔G 대구","대구광역시","달성군","대구 달성군 구지면 달성2차동1로 145","['없음']"
"대구 호텔 칸","대구광역시","달성군","대구 달성군 구지면 달성2차동1로 141","['없음']"
"호텔덕구온천","경상북도","울진군","경북 울진군 북면 덕구온천로 924","['없음']"
"호텔 컬리넌 역삼","서울특별시","강남구","서울 강남구 언주로87길 11","['없음']"
"바고관광호텔","서울특별시","강동구","서울 강동구 천중로 27","['없음']"
"부산 서면 호텔 더 스위트","부산광역시","부산진구","부산 부산진구 중앙대로691번가길 14-9","['없음']"
"해운대 센트럴 호텔","부산광역시","해운대구","부산 해운대구 해운대해변로298번길 33","['없음']"
"에이본 호텔 군산","전북특별자치도","군산시","전북 군산시 해망로 10","['없음']"
"청주 부티크 호텔 지","충청북도","청주시 청원구","충북 청주시 청원구 1순환로 166","['없음']"
"강서 굿프라임","부산광역시","강서구","부산 강서구 과학산단2로 12","['없음']"
"부산 명지 호텔 oia","부산광역시","강서구","부산 강서구 명지국제6로1번길 24","['없음']"
"창원 진해 올리브","경상남도","창원시 진해구","경남 창원시 진해구 진해대로 855","['없음']"
"해운대 에이치 스테이 호텔","부산광역시","해운대구","부산 해운대구 해운대로 620","['없음']"
"사당 카리스호텔","서울특별시","관악구","서울 관악구 승방2길 31","['없음']"
"부산 범천동 브라운도트 서면범천점","부산광역시","부산진구","부산 부산진구 황령대로7번길 20-11","['없음']"
"부산 서면 leesundeok hotel","부산광역시","부산진구","부산 부산진구 범천동 황령대로7번길 26","['없음']"
"곤지암리조트","경기도","광주시","경기 광주시 도척면 도척윗로 278","['없음']"
"중문시티호텔","제주특별자치도","서귀포시","제주특별자치도 서귀포시 중문상로 27","['없음']"
"켄싱턴리조트 지리산남원","전북특별자치도","남원시","전북 남원시 소리길 66","['없음']"
"헤븐마크in속초","강원특별자치도","속초시","강원 속초시 영랑해안8길 11","['없음']"
"르네블루 by 워커힐","강원특별자치도","고성군","강원 고성군 죽왕면 심층수길 96","['없음']"
"한옥스테이 남원예촌by켄싱턴","전북특별자치도","남원시","전라북도 남원시 금동 81","['없음']"
"여수 웅천 퍼스트 바이 쏘타","전라남도","여수시","전남 여수시 웅천남1로 52","['없음']"
"여수 스테이 호텔","전라남도","여수시","전남 여수시 봉산남8길 17-15","['없음']"
"라마다 바이 윈덤 대전","대전광역시","유성구","대전 유성구 계룡로 127","['없음']"
"SL호텔 강릉","강원특별자치도","강릉시","강원 강릉시 주문진읍 주문로 59","['없음']"
"지리산 일성 콘도","전북특별자치도","남원시","전북 남원시 산내면 천왕봉로 626-25","['없음']"
"베스트루이스해밀턴호텔 오션테라스","부산광역시","기장군","부산광역시 기장군 기장읍 연화1길 27","['없음']"
"브라운도트 남포 충무점","부산광역시","서구","부산 서구 구덕로119번길 71","['없음']"
"춘천캣츠호텔","강원특별자치도","춘천시","강원 춘천시 공지로355","['없음']"
"수 호텔 여수","전라남도","여수시","전남 여수시 이순신광장로 204","['없음']"
"여수 호텔 헤이븐","전라남도","여수시","전남 여수시 돌산읍 진두해안길 131","['없음']"
"포포인츠 바이쉐라톤 조선 서울역","서울특별시","용산구","서울 용산구 한강대로 366","['없음']"
"신천 상주호텔","서울특별시","송파구","서울 송파구 올림픽로8길 19","['없음']"
"명지 오션시티호텔","부산광역시","강서구","부산 강서구 명지오션시티3로 37","['없음']"
"방어진 그랜드젬 호텔","울산광역시","동구","울산 동구 북진5길 38","['없음']"
